Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"AT McLain, TJ Meyer, C Faulk, SW Herke, ...","An Alu-Based Phylogeny of Lemurs (Infraorder: Lemuriformes)",2012,"","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0044035","https://scholar.google.com/scholar?cites=15944834919609765289&as_sdt=2005&sciodt=0,5&hl=en",289,"2022-06-03 12:54:03","HTML","","","",,,,,29,2.90,6,5,10,"Lemurs (infraorder: Lemuriformes) are a radiation of strepsirrhine primates endemic to the island of Madagascar. As of 2012, 101 lemur species, divided among five families, have been …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0044035","https://scholar.google.com/scholar?q=related:qY2VSeFuR90J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
100,"LH Spelman, KG Osborn, MP Anderson","Pathogenesis of hemosiderosis in lemurs: role of dietary iron, tannin, and ascorbic acid",1989,"Zoo Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/zoo.1430080305","https://scholar.google.com/scholar?cites=10922960260768410882&as_sdt=2005&sciodt=0,5&hl=en",290,"2022-06-03 12:54:03","","10.1002/zoo.1430080305","","",,,,,100,3.03,33,3,33,"Clinical disease associated with excess iron deposition (hemosiderosis) in the duodenum, liver, and spleen occurs in captive lemurs. In this report we review the occurrence of …","","https://scholar.google.com/scholar?q=related:Ai3PHnwmlpcJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"P Fernando, J Pastorini, E Wikramanayake, ...","Molecular Systematics of Lemurs",,"ccrsl.org","","http://www.ccrsl.org/personnel/dr-jennifer-pastorini/molecular-systematics-of-lemurs","",291,"2022-06-03 12:54:03","HTML","","","",,,,,0,0.00,0,4,,"… Propithecus. Among the remaining Propithecus, one subclade is formed by Pv coquereli and P… On the other hand, these analyses indicate that Pv coquereli may well represent a distinct …","http://www.ccrsl.org/personnel/dr-jennifer-pastorini/molecular-systematics-of-lemurs","https://scholar.google.com/scholar?q=related:WTXuW96r_4AJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"S GRABER, C SCHUPPLI, K ISLER, CP VAN SCHAIK","AAPA ABSTRACTS 129",,"academia.edu","","https://www.academia.edu/download/44995903/Genetic_variation_in_pelvic_sexual_dimor20160422-8208-1ly8wo6.pdf","",292,"2022-06-03 12:54:03","PDF","","","",,,,,0,0.00,0,4,,"Tsimanampetsotsa National Park (TNP). We hypothesize that the ability for pregnant and lactating females to adequately obtain plant foods high in protein, low in fiber, and with a high …","https://www.academia.edu/download/44995903/Genetic_variation_in_pelvic_sexual_dimor20160422-8208-1ly8wo6.pdf",""
42,"L Wilmé, M Ravokatra, R Dolch, D Schuurman, ...","Toponyms for centers of endemism in Madagascar",2012,"Madagascar …","ajol.info","https://www.ajol.info/index.php/mcd/article/view/79582","https://scholar.google.com/scholar?cites=3265411799116551586&as_sdt=2005&sciodt=0,5&hl=en",293,"2022-06-03 12:54:03","","","","",,,,,42,4.20,8,5,10,"A biogeographical model was proposed in 2006 to explain the centers of endemism and the importance of riparian forest of some watersheds as refuges or dispersal corridors during …","https://www.ajol.info/index.php/mcd/article/download/79582/69861","https://scholar.google.com/scholar?q=related:ohW2-7oSUS0J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
108,"B Simmen, A Hladik, P Ramasiarisoa","Food intake and dietary overlap in native Lemur catta and Propithecus verreauxi and introduced Eulemur fulvus at Berenty, Southern Madagascar",2003,"International Journal of Primatology","Springer","https://link.springer.com/article/10.1023/A:1026366309980","https://scholar.google.com/scholar?cites=10550642846455152031&as_sdt=2005&sciodt=0,5&hl=en",294,"2022-06-03 12:54:03","","10.1023/A:1026366309980","","",,,,,108,5.68,36,3,19,"… The troops of Lemur and groups of Propithecus include … between male and female Propithecus during the middle of the … focal groups of Lemur and Propithecus according to the location …","https://www.researchgate.net/profile/Bruno-Simmen/publication/226340353_Food_Intake_and_Dietary_Overlap_in_Native_Lemur_catta_and_Propithecus_verreauxi_and_Introduced_Eulemur_fulvus_at_Berenty_Southern_Madagascar/links/0a85e5332eac73162c000000/Food-Intake-and-Dietary-Overlap-in-Native-Lemur-catta-and-Propithecus-verreauxi-and-Introduced-Eulemur-fulvus-at-Berenty-Southern-Madagascar.pdf","https://scholar.google.com/scholar?q=related:n7355sRpa5IJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
1,"小山直樹, 高畑由起夫","マダガスカルでの霊長類の研究と保護: ワオキツネザルを中心に",2009,"霊長類研究","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/psj/24/3/24_3_289/_article/-char/ja/","https://scholar.google.com/scholar?cites=8026929104416864875&as_sdt=2005&sciodt=0,5&hl=en",295,"2022-06-03 12:54:03","","","","",,,,,1,0.08,1,2,13,"この小論では, マダガスカルでの霊長類の研究並びに保護の現状について, 南部ベレンティ私設保護 区でのワオキツネザルの長期調査を中心に報告したい. マダガスカルは面積 58 万 7 千 km2, 南緯 …","https://www.jstage.jst.go.jp/article/psj/24/3/24_3_289/_pdf","https://scholar.google.com/scholar?q=related:a_oC8n1hZW8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
184,"BK Trevelline, SS Fontaine, ...","Conservation biology needs a microbial renaissance: a call for the consideration of host-associated microbiota in wildlife management practices",2019,"Proceedings of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2018.2448","https://scholar.google.com/scholar?cites=2364326460953845044&as_sdt=2005&sciodt=0,5&hl=en",296,"2022-06-03 12:54:03","","10.1098/rspb.2018.2448","","",,,,,184,61.33,61,3,3,"… In Coquerel's sifakas (Propithecus coquereli), infection with the protozoan Cryptosporidium reduces overall diversity of the gut microbiome, while enriching taxa known to be associated …","https://royalsocietypublishing.org/doi/full/10.1098/rspb.2018.2448","https://scholar.google.com/scholar?q=related:NN01tmPGzyAJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
7,"JG Fleagle, ER Seiffert","The phylogeny of primates",2020,"Evolutionary neuroscience","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780128205846000209","https://scholar.google.com/scholar?cites=16085838390033360486&as_sdt=2005&sciodt=0,5&hl=en",297,"2022-06-03 12:54:03","","","","",,,,,7,3.50,4,2,2,"Primates are one of the most diverse orders of living mammals with 80 genera and over 500 recognized species and are found almost exclusively in tropical parts of Africa, Asia, South …","","https://scholar.google.com/scholar?q=related:ZqZHEMpgPN8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"RH Palfrey, F Ó Marcaigh, J Baddams, ...","The avifauna of the forest mosaic habitats of the Mariarano region, Mahajanga II district, north-west Madagascar",2019,"… -African Biodiversity & …","journals.co.za","https://journals.co.za/doi/abs/10.4102/abc.v49i1.2416","",298,"2022-06-03 12:54:03","","10.4102/abc.v49i1.2416","","",,,,,0,0.00,0,4,3,"… coquereli) – A local endemic confined to the West Malagasy dry forests EBA. It is an uncommon resident in the Mariarano study area, being cryptic and rarely observed directly. Most …","https://journals.co.za/doi/pdf/10.4102/abc.v49i1.2416","https://scholar.google.com/scholar?q=related:8VRKU86nkzMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
56,"JMG Perry, CE Wall","Scaling of the chewing muscles in prosimians",2008,"Primate craniofacial function and biology","Springer","https://link.springer.com/content/pdf/10.1007/978-0-387-76585-3_11.pdf","https://scholar.google.com/scholar?cites=2562121681562190592&as_sdt=2005&sciodt=0,5&hl=en",299,"2022-06-03 12:54:03","","10.1007/978-0-387-76585-3_11","","",,,,,56,4.00,28,2,14,"… d It was not possible to separate the ZT from the ST for Mirza coquereli. Therefore, these muscles were analyzed as a single unit for the measurement of PCSA and mass. However, it …","","https://scholar.google.com/scholar?q=related:AEPXPBh8jiMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
30,"Y Go, Y Satta, Y Kawamoto, G Rakotoarisoa, ...","Frequent segmental sequence exchanges and rapid gene duplication characterize the MHC class I genes in lemurs",2003,"Immunogenetics","Springer","https://link.springer.com/article/10.1007/s00251-003-0613-6","https://scholar.google.com/scholar?cites=11994114491939167444&as_sdt=2005&sciodt=0,5&hl=en",300,"2022-06-03 12:54:03","","10.1007/s00251-003-0613-6","","",,,,,30,1.58,6,5,19,"… in Propithecus verreauxi coquereli. These values are consistent with the number of class I genes (about 10 loci) in gray mouse lemur (Microcebus murinus) revealed in a previous study (…","https://www.researchgate.net/profile/Yasuhiro-Go/publication/9061640_Frequent_segmental_sequence_exchanges_and_rapid_gene_duplication_characterize_the_MHC_class_I_genes_in_lemurs/links/0912f50a24f68ed91b000000/Frequent-segmental-sequence-exchanges-and-rapid-gene-duplication-characterize-the-MHC-class-I-genes-in-lemurs.pdf","https://scholar.google.com/scholar?q=related:1BxmN5Wnc6YJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
30,"I Norscia, JB Ramanamanjato, JU Ganzhorn","Feeding patterns and dietary profile of nocturnal southern woolly lemurs (Avahi meridionalis) in southeast Madagascar",2012,"International Journal of …","Springer","https://link.springer.com/article/10.1007/s10764-011-9562-3","https://scholar.google.com/scholar?cites=3725845892574757154&as_sdt=2005&sciodt=0,5&hl=en",301,"2022-06-03 12:54:03","","10.1007/s10764-011-9562-3","","",,,,,30,3.00,10,3,10,"… However, their food selection criteria are unclear because they show 1) no preference for leaves with high crude protein content (Indri indri, Propithecus diadema, P. coquereli: …","https://www.researchgate.net/profile/Ivan-Norscia-2/publication/257570914_Feeding_Patterns_and_Dietary_Profile_of_Nocturnal_Southern_Woolly_Lemurs_Avahi_meridionalis_in_Southeast_Madagascar/links/543bfe240cf24a6ddb97d355/Feeding-Patterns-and-Dietary-Profile-of-Nocturnal-Southern-Woolly-Lemurs-Avahi-meridionalis-in-Southeast-Madagascar.pdf","https://scholar.google.com/scholar?q=related:IkHEUhndtDMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
27,"EA McKenney, M Maslanka, A Rodrigo, AD Yoder","Bamboo specialists from two mammalian orders (Primates, Carnivora) share a high number of low-abundance gut microbes",2018,"Microbial ecology","Springer","https://link.springer.com/article/10.1007/s00248-017-1114-8","https://scholar.google.com/scholar?cites=4565753992659275526&as_sdt=2005&sciodt=0,5&hl=en",302,"2022-06-03 12:54:03","","10.1007/s00248-017-1114-8","","",,,,,27,6.75,7,4,4,"… In that study, the folivorous (leaf-eating) lemur, Coquerel’s sifaka (Propithecus coquereli), exhibited the lowest inter-individual variation, suggesting that the GM is tightly regulated by …","http://yoderlab.org/cms/wp-content/uploads/2017/11/McKenney2017BambooSpecialists.pdf","https://scholar.google.com/scholar?q=related:Bg9H4BDRXD8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
152,"AG Rosati","Foraging cognition: reviving the ecological intelligence hypothesis",2017,"Trends in cognitive sciences","Elsevier","https://www.sciencedirect.com/science/article/pii/S1364661317301122","https://scholar.google.com/scholar?cites=7998486730195626335&as_sdt=2005&sciodt=0,5&hl=en",303,"2022-06-03 12:54:03","","","","",,,,,152,30.40,152,1,5,"… (Propithecus coquereli) are folivores with a specialized gut to process leaves 38, 39. Across three tests of spatial memory – recall of a single location after a 1-week period, use of …","https://sites.lsa.umich.edu/cognitive-evolution/wp-content/uploads/sites/501/2017/07/2017-rosati-foraging.pdf","https://scholar.google.com/scholar?q=related:X2n8pU1VAG8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"S Heerschop, Z Fagrouch, EJ Verschoor, ...","Pinpointing the PRDM9-PRDM7 Gene Duplication Event During Primate Divergence",2021,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fgene.2021.593725/full","",304,"2022-06-03 12:54:03","HTML","10.3389/fgene.2021.593725","","",,,,,0,0.00,0,4,1,"… coquereli on Ensembl. We also suggest that PRDM7 in ruminants (Ahlawat et al., 2016) is a different PRDM member and possibly resulted from another duplication event. …","https://www.frontiersin.org/articles/10.3389/fgene.2021.593725/full","https://scholar.google.com/scholar?q=related:n0Orzn3GOoUJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
27,"LM Bolt, AL Schreier, KA Voss, EA Sheehan, ...","The influence of anthropogenic edge effects on primate populations and their habitat in a fragmented rainforest in Costa Rica",2018,"Primates","Springer","https://link.springer.com/article/10.1007/s10329-018-0652-0","https://scholar.google.com/scholar?cites=14470215252135664926&as_sdt=2005&sciodt=0,5&hl=en",305,"2022-06-03 12:54:03","","10.1007/s10329-018-0652-0","","",,,,,27,6.75,5,5,4,"When a forest is fragmented, this increases the amount of forest edge relative to the interior. Edge effects can lead to loss of animal and plant species and decreased plant biomass near …","https://maderasrfc.org/wp-content/uploads/2018/09/Bolt-et-al_Primates_May2018.pdf","https://scholar.google.com/scholar?q=related:Hl389hqI0MgJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
75,"I Tattersall, RW Sussman","Observations on the ecology and behavior of the mongoose lemur, Lemur mongoz mongoz linnaeus,(primates, lemuriformes), at Ampijoroa, Madagascar …",1975,"","digitallibrary.amnh.org","https://digitallibrary.amnh.org/bitstream/handle/2246/82/v2/dspace/ingest/pdfSource/ant/A052a04.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?cites=12550834511025372905&as_sdt=2005&sciodt=0,5&hl=en",306,"2022-06-03 12:54:03","PDF","","","",,,,,75,1.60,38,2,47,"… Lemur mongoz mongozis sympatric at Ankarafantsika with six lemur species and subspecies: the diurnal Lemurfulvus fulvus and Propithecus verreauxi coquereli; and the nocturnal …","https://digitallibrary.amnh.org/bitstream/handle/2246/82/v2/dspace/ingest/pdfSource/ant/A052a04.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:6X5hmH2FLa4J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"SK Gupta, K Verma, R Kumar, B Sarkar, ...","Priming alleviates high temperature induced oxidative DNA damage and repair using Apurinic/apyrimidinic endonuclease (Ape1L) homologue in wheat (Triticum …",2020,"Plant Physiology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0981942820304654","",307,"2022-06-03 12:54:03","","","","",,,,,0,0.00,0,5,2,"Crop plants require an optimum range of temperature for normal growth and development however high temperature can adversely affect the plants, induce oxidative stress and …","","https://scholar.google.com/scholar?q=related:ByMwW7DxmlsJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"A Genesis","Aardvarks, 94 Absarokius, 246 Academie Malgache at Parc Tsimbazaza, 286 Aceraceae, 423 Acer tonkinensis, 423",2007,"Elwyn Simons: A Search for Origins","Springer","https://link.springer.com/content/pdf/10.1007/978-0-387-73896-3.pdf#page=447","",308,"2022-06-03 12:54:03","","10.1007/978-0-387-73896-3","","",,,,,0,0.00,0,1,15,"… Propithecus coquereli, peroneal tubercle morphology of, 233 Propithecus diadema, 377 Propithecus … Propithecus verreauxi coquereli, 288 Propliopithecidae, 125, 127 Propliopithecus …","",""
39,"J Buettner-Janusch, ...","Hemoglobins of primates",1964,"Evolutionary and genetic …","books.google.com","https://books.google.com/books?hl=en&lr=&id=JxV-3AZv0s4C&oi=fnd&pg=PA75&dq=propithecus+coquereli&ots=1WNIrBZ11a&sig=ZEIG2lfySxWjMfukMepjEu1CcXA","https://scholar.google.com/scholar?cites=9365892361259036891&as_sdt=2005&sciodt=0,5&hl=en",309,"2022-06-03 12:54:03","","","","",,,,,39,0.67,20,2,58,"We have chosen to concentrate upon the evolution and genetics of the hemoglobin molecule as one aspect of the biochemical genetics of the Primates and their closely allied …","","https://scholar.google.com/scholar?q=related:27Bj3XpV-oEJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
1,"AS Kharat, AB Gulwe","Sequence analysis of AKT1 protein from Homo sapiens",2016,"International Journal of Bioinformatics …","researchgate.net","https://www.researchgate.net/profile/Arun-Kharat-2/publication/307904510_Sequence_analysis_of_AKT1_protein_from_Homo_sapiens/links/57d126e508ae601b39a18859/Sequence-analysis-of-AKT1-protein-from-Homo-sapiens.pdf","https://scholar.google.com/scholar?cites=8451818301941876714&as_sdt=2005&sciodt=0,5&hl=en",310,"2022-06-03 12:54:03","PDF","","","",,,,,1,0.17,1,2,6,"The aim of the present study is to identify the origin, evolutionary distance and conserved domain analysis of the divergent phylogenetic lineage of AKT1 protein from Homo sapiens. …","https://www.researchgate.net/profile/Arun-Kharat-2/publication/307904510_Sequence_analysis_of_AKT1_protein_from_Homo_sapiens/links/57d126e508ae601b39a18859/Sequence-analysis-of-AKT1-protein-from-Homo-sapiens.pdf","https://scholar.google.com/scholar?q=related:6gdkSffjSnUJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
2,"C Birkinshaw","Probable pollination of Brexia mada-gascariensis (Lam.) Ker Gaul. by Eule-mur fulvus at Ambila-Lemaitso, Mada-gascar",2002,"Bull. Soc. Bot. France","Citeseer","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.523.1539&rep=rep1&type=pdf","https://scholar.google.com/scholar?cites=11757432482471348205&as_sdt=2005&sciodt=0,5&hl=en",311,"2022-06-03 12:54:03","PDF","","","",,,,,2,0.10,2,1,20,"… full species Propithecus deckeni. This species along with the monotypic full species Propi- thecus verreauxi and Propithecus coquereli form the informal Propithecus verreauxi group. …","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.523.1539&rep=rep1&type=pdf","https://scholar.google.com/scholar?q=related:7QdYnIzKKqMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
60,"CC Veilleux, EE Louis Jr, ...","Nocturnal Light Environments Influence Color Vision and Signatures of Selection on the OPN1SW Opsin Gene in Nocturnal Lemurs",2013,"Molecular Biology and …","academic.oup.com","https://academic.oup.com/mbe/article-abstract/30/6/1420/1146961","https://scholar.google.com/scholar?cites=13752817583316804675&as_sdt=2005&sciodt=0,5&hl=en",312,"2022-06-03 12:54:03","","","","",,,,,60,6.67,20,3,9,"… coquereli, and D. madagascariensis) to estimate the peak spectral sensitivity (λ max ) of the SWS … Site position aligned to Propithecus coquereli and includes the start codon as site 1. …","https://academic.oup.com/mbe/article/30/6/1420/1146961","https://scholar.google.com/scholar?q=related:QyRY-rnS274J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"B Gajra","Chromosome Information Service (CIS), XV",2011,"The Nucleus","Springer","https://link.springer.com/article/10.1007/s13237-011-0029-x","",313,"2022-06-03 12:54:03","","10.1007/s13237-011-0029-x","","",,,,,0,0.00,0,1,11,"… relationships between Propithecus diadema and Propithecus edwardsi, and (… Propithecus verreauxi, and Propithecus tattersalli, and thus suggesting paraphyly of the genus Propithecus…","",""
233,"PM Kappeler","Patterns of sexual dimorphism in body weight among prosimian primates",1991,"Folia Primatologica","karger.com","https://www.karger.com/Article/Abstract/156575","https://scholar.google.com/scholar?cites=8312747638806528807&as_sdt=2005&sciodt=0,5&hl=en",314,"2022-06-03 12:54:03","","","","",,,,,233,7.52,233,1,31,"Many primatologists believe that there is no sexual dimorphism in body size in prosimian primates. Because this belief is based upon data that came from only a few species and were …","","https://scholar.google.com/scholar?q=related:J8OHRu_PXHMJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
69,"ST Pochron, PC Wright","Variability in adult group compositions of a prosimian primate",2003,"Behavioral Ecology and Sociobiology","Springer","https://link.springer.com/article/10.1007/s00265-003-0634-z","https://scholar.google.com/scholar?cites=5977804559763254742&as_sdt=2005&sciodt=0,5&hl=en",315,"2022-06-03 12:54:03","","10.1007/s00265-003-0634-z","","",,,,,69,3.63,35,2,19,"… Propithecus verreauxi mated both within their group and with members of neighboring groups, suggesting that both ""neighborhoods"" and groups played an important role in sifaka …","https://www.academia.edu/download/50407222/Variability_in_adult_group_compositions_20161118-32039-18bj83x.pdf","https://scholar.google.com/scholar?q=related:1i1mSZNt9VIJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"MI Mayor","A conservation genetics investigation of lemur diversity in Madagascar: Sifakas as a case study",2008,"","search.proquest.com","https://search.proquest.com/openview/b424e5812f369f092a67395b2e540519/1?pq-origsite=gscholar&cbl=18750","",316,"2022-06-03 12:54:03","","","","",,,,,0,0.00,0,1,14,"… of the lemur genus Propithecus belonging to the … Propithecus, including all subspecies of Propithecus diadema, P. tattersalli, as well as P. verreauxi verreauxi and P. verreauxi coquereli. …","","https://scholar.google.com/scholar?q=related:C1FhXtcf9B8J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"D Primatenzentrum","Eleanor 1. Sterling",1994,"Folia Primatol","researchgate.net","https://www.researchgate.net/profile/Eleanor-Sterling-2/publication/15478396_Evidence_for_Nonseasonal_Reproduction_in_Wild_Aye-Ayes_Daubentonia_madagascariensis/links/5753447308ae02ac127af501/Evidence-for-Nonseasonal-Reproduction-in-Wild-Aye-Ayes-Daubentonia-madagascariensis.pdf","",317,"2022-06-03 12:54:03","PDF","","","",,,,,0,0.00,0,1,28,"… Apart from aye-ayes, extended breeding periods have been reported for wild Eulemur coronatus and for captive Eulemur fulvus and Mirza coquereli. Analysis of information on seascnal …","https://www.researchgate.net/profile/Eleanor-Sterling-2/publication/15478396_Evidence_for_Nonseasonal_Reproduction_in_Wild_Aye-Ayes_Daubentonia_madagascariensis/links/5753447308ae02ac127af501/Evidence-for-Nonseasonal-Reproduction-in-Wild-Aye-Ayes-Daubentonia-madagascariensis.pdf","https://scholar.google.com/scholar?q=related:3ofpgCb1DbQJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
60,"PD Jenkins, GH Albrecht","Sexual dimorphism and sex ratios in Madagascan prosimians",1991,"American Journal of Primatology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajp.1350240102","https://scholar.google.com/scholar?cites=3315433827620500440&as_sdt=2005&sciodt=0,5&hl=en",318,"2022-06-03 12:54:03","","10.1002/ajp.1350240102","","",,,,,60,1.94,30,2,31,"… coquereli, differs considerably from these two and is thought to be generically distinct by … average 6-7 kg (Indri indri and Propithecus diadema) compared to estimates for the largest …","https://www.academia.edu/download/58683586/Jenkins___Albrecht_1991_Amer_J_Primatol_24_1-14_-_Sexual_dimorphism___sex_ratios_in_Madagascan_prosimians.pdf","https://scholar.google.com/scholar?q=related:2DOiE4DJAi4J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
40,"JU Ganzhorn, SM Goodman, S Nash, ...","Lemur biogeography",2006,"Primate biogeography","Springer","https://link.springer.com/chapter/10.1007/0-387-31710-4_8","https://scholar.google.com/scholar?cites=14354459507106678911&as_sdt=2005&sciodt=0,5&hl=en",319,"2022-06-03 12:54:03","","10.1007/0-387-31710-4_8","","",,,,,40,2.50,10,4,16,"… Based on mtDNA Propithecus tattersalli groups with P. verreauxi coquereli. If these genetic data will prove to be relevant in evolutionary terms these two taxa would have to be pooled …","https://www.academia.edu/download/45093821/Lemur_Biogeography20160426-11503-1yvgmmc.pdf","https://scholar.google.com/scholar?q=related:f4jSV95INccJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
13,"RH Eaglen","Toothcomb homology and toothcomb function in extant strepsirhines",1980,"International Journal of Primatology","Springer","https://link.springer.com/article/10.1007/BF02692275","https://scholar.google.com/scholar?cites=603030610882392743&as_sdt=2005&sciodt=0,5&hl=en",320,"2022-06-03 12:54:03","","10.1007/BF02692275","","",,,,,13,0.31,13,1,42,"Contrary to some recent assertions, there are no persuasive ways for determining the homologies of indriid toothcomb teeth and the resulting dental formulas. Most of the presumably …","","https://scholar.google.com/scholar?q=related:p_JURiVlXggJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
22,"DK Brockman, AK Cobden, ...","Birth season glucocorticoids are related to the presence of infants in sifaka (Propithecus verreauxi)",2009,"Proceedings of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2008.1912","https://scholar.google.com/scholar?cites=9122132022033288683&as_sdt=2005&sciodt=0,5&hl=en",321,"2022-06-03 12:54:03","","10.1098/rspb.2008.1912","","",,,,,22,1.69,7,3,13,"The responses of plural breeding mammals to environmental stressors are little understood in free-ranging populations, but recent studies of singular breeders suggest that ecological …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc2674497/","https://scholar.google.com/scholar?q=related:642CL75SmH4J:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
0,"C Arnold, L Matthews, C Nunn","Last updated: June 2012",,"researchgate.net","","https://www.researchgate.net/profile/Christian-Arnold-3/publication/239534883_10kTREES_A_BAYESIAN_INFERENCE_OF_PRIMATE_PHYLOGENY_FOR_COMPARATIVE_RESEARCH/links/58ac36ce92851cf0e3ccd0e8/10kTREES-A-BAYESIAN-INFERENCE-OF-PRIMATE-PHYLOGENY-FOR-COMPARATIVE-RESEARCH.pdf","",322,"2022-06-03 12:54:03","PDF","","","",,,,,0,0.00,0,3,,"The 10kTrees Website is a new web resource for conducting comparative studies of primates, carnivorans, odd-toed ungulates, and even-toed ungulates and cetaceans. The …","https://www.researchgate.net/profile/Christian-Arnold-3/publication/239534883_10kTREES_A_BAYESIAN_INFERENCE_OF_PRIMATE_PHYLOGENY_FOR_COMPARATIVE_RESEARCH/links/58ac36ce92851cf0e3ccd0e8/10kTREES-A-BAYESIAN-INFERENCE-OF-PRIMATE-PHYLOGENY-FOR-COMPARATIVE-RESEARCH.pdf","https://scholar.google.com/scholar?q=related:YIHsKOU5msQJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
11,"JH Schwartz","Homologies of the toothcomb",1978,"American Journal of Physical Anthropology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.1330490105","https://scholar.google.com/scholar?cites=635905971506881872&as_sdt=2005&sciodt=0,5&hl=en",323,"2022-06-03 12:54:03","","10.1002/ajpa.1330490105","","",,,,,11,0.25,11,1,44,"… G Propithecus verreauxi (RM a): mandible with permanent toothcomb (the central teeth are … H Propithecus uerreauri coquereli (RM F): mandible with the deciduous toothcomb and four …","","https://scholar.google.com/scholar?q=related:UKU3phwx0wgJ:scholar.google.com/&scioq=propithecus+coquereli&hl=en&as_sdt=0,5&as_vis=1"
